"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"4238","9/1/2016 00:05:55","9/1/2016 01:16:34","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","3300","Prospect Park West & 8 St","40.66514681533792","-73.97637605667114","15994","Subscriber","1978","1"
"999","9/1/2016 00:06:03","9/1/2016 00:22:42","254","W 11 St & 6 Ave","40.73532427","-73.99800419","523","W 38 St & 8 Ave","40.75466591","-73.99138152","24057","Subscriber","1981","1"
"201","9/1/2016 00:06:06","9/1/2016 00:09:28","324","DeKalb Ave & Hudson Ave","40.689888","-73.981013","261","Johnson St & Gold St","40.69474881","-73.98362464","22185","Subscriber","1982","2"
"827","9/1/2016 00:06:18","9/1/2016 00:20:05","504","1 Ave & E 16 St","40.73221853","-73.98165557","412","Forsyth St & Canal St","40.7158155","-73.99422366","15861","Subscriber","1992","1"
"1131","9/1/2016 00:06:21","9/1/2016 00:25:12","518","E 39 St & 2 Ave","40.74780373","-73.9734419","444","Broadway & W 24 St","40.7423543","-73.98915076","16370","Customer","","0"
"1029","9/1/2016 00:06:25","9/1/2016 00:23:35","499","Broadway & W 60 St","40.76915505","-73.98191841","3323","W 106 St & Central Park West","40.7981856","-73.9605909006","16143","Subscriber","1959","1"
"313","9/1/2016 00:06:30","9/1/2016 00:11:43","345","W 13 St & 6 Ave","40.73649403","-73.99704374","285","Broadway & E 14 St","40.73454567","-73.99074142","15621","Subscriber","1995","2"
"2415","9/1/2016 00:06:32","9/1/2016 00:46:47","468","Broadway & W 55 St","40.7652654","-73.98192338","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","19425","Subscriber","1982","1"
"1147","9/1/2016 00:06:35","9/1/2016 00:25:43","518","E 39 St & 2 Ave","40.74780373","-73.9734419","444","Broadway & W 24 St","40.7423543","-73.98915076","15530","Customer","","0"
"1122","9/1/2016 00:06:38","9/1/2016 00:25:20","518","E 39 St & 2 Ave","40.74780373","-73.9734419","444","Broadway & W 24 St","40.7423543","-73.98915076","26741","Customer","","0"
"786","9/1/2016 00:06:44","9/1/2016 00:19:50","3148","E 84 St & 1 Ave","40.77565541","-73.95068615","228","E 48 St & 3 Ave","40.7546011026","-73.971878855","20790","Subscriber","1977","1"
"980","9/1/2016 00:06:49","9/1/2016 00:23:10","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","432","E 7 St & Avenue A","40.72621788","-73.98379855","25805","Subscriber","1990","2"
"1144","9/1/2016 00:06:50","9/1/2016 00:25:54","365","Fulton St & Grand Ave","40.68223166","-73.9614583","532","S 5 Pl & S 4 St","40.710451","-73.960876","22122","Subscriber","1987","1"
"1111","9/1/2016 00:07:04","9/1/2016 00:25:35","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","417","Barclay St & Church St","40.71291224","-74.01020234","17738","Subscriber","1974","1"
"602","9/1/2016 00:07:03","9/1/2016 00:17:06","504","1 Ave & E 16 St","40.73221853","-73.98165557","361","Allen St & Hester St","40.71605866","-73.99190759","18334","Subscriber","1990","1"
"1044","9/1/2016 00:07:13","9/1/2016 00:24:37","263","Elizabeth St & Hester St","40.717590818059804","-73.99622440338135","3235","E 41 St & Madison Ave","40.752165280621966","-73.97992193698882","16744","Subscriber","1989","1"
"304","9/1/2016 00:07:43","9/1/2016 00:12:48","361","Allen St & Hester St","40.71605866","-73.99190759","356","Bialystoker Pl & Delancey St","40.71622644","-73.98261206","23895","Subscriber","1966","2"
"553","9/1/2016 00:07:51","9/1/2016 00:17:04","3060","Willoughby Ave & Tompkins Ave","40.69425403","-73.94626915","3041","Kingston Ave & Herkimer St","40.67890679","-73.94142771","16915","Subscriber","1991","1"
"589","9/1/2016 00:07:52","9/1/2016 00:17:42","164","E 47 St & 2 Ave","40.75323098","-73.97032517","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","16521","Subscriber","1988","1"
"672","9/1/2016 00:07:55","9/1/2016 00:19:07","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","25561","Subscriber","1994","1"
"999","9/1/2016 00:07:57","9/1/2016 00:24:37","263","Elizabeth St & Hester St","40.717590818059804","-73.99622440338135","3235","E 41 St & Madison Ave","40.752165280621966","-73.97992193698882","23306","Subscriber","1986","1"
"184","9/1/2016 00:08:08","9/1/2016 00:11:13","483","E 12 St & 3 Ave","40.73223272","-73.98889957","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","22875","Subscriber","1997","1"
"564","9/1/2016 00:08:12","9/1/2016 00:17:36","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","482","W 15 St & 7 Ave","40.73935542","-73.99931783","15062","Subscriber","1992","2"
"215","9/1/2016 00:08:17","9/1/2016 00:11:52","3259","9 Ave & W 28 St","40.74937024193277","-73.99923384189606","434","9 Ave & W 18 St","40.74317449","-74.00366443","25982","Subscriber","1968","2"
"289","9/1/2016 00:08:23","9/1/2016 00:13:13","3242","Schermerhorn St & Court St","40.69102925677968","-73.99183362722397","3308","Kane St & Clinton St","40.6861758","-73.99645295","16382","Customer","","0"
"744","9/1/2016 00:08:30","9/1/2016 00:20:54","334","W 20 St & 7 Ave","40.74238787","-73.99726235","504","1 Ave & E 16 St","40.73221853","-73.98165557","22868","Subscriber","1974","1"
"864","9/1/2016 00:08:51","9/1/2016 00:23:15","417","Barclay St & Church St","40.71291224","-74.01020234","301","E 2 St & Avenue B","40.72217444","-73.98368779","24989","Subscriber","1968","2"
"1116","9/1/2016 00:08:52","9/1/2016 00:27:28","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","346","Bank St & Hudson St","40.73652889","-74.00618026","24126","Customer","","0"
"1137","9/1/2016 00:08:52","9/1/2016 00:27:50","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","346","Bank St & Hudson St","40.73652889","-74.00618026","25796","Customer","","0"
"360","9/1/2016 00:08:53","9/1/2016 00:14:53","504","1 Ave & E 16 St","40.73221853","-73.98165557","504","1 Ave & E 16 St","40.73221853","-73.98165557","26596","Subscriber","1984","1"
"1549","9/1/2016 00:09:01","9/1/2016 00:34:50","479","9 Ave & W 45 St","40.76019252","-73.9912551","151","Cleveland Pl & Spring St","40.722103786686034","-73.99724900722504","15409","Subscriber","1981","1"
"605","9/1/2016 00:09:04","9/1/2016 00:19:10","310","State St & Smith St","40.68926942","-73.98912867","3415","Prospect Pl & 6 Ave","40.6793307","-73.97519523","17327","Subscriber","1983","1"
"320","9/1/2016 00:09:06","9/1/2016 00:14:27","466","W 25 St & 6 Ave","40.74395411","-73.99144871","474","5 Ave & E 29 St","40.7451677","-73.98683077","26673","Subscriber","1951","1"
"318","9/1/2016 00:09:05","9/1/2016 00:14:24","490","8 Ave & W 33 St","40.751551","-73.993934","529","W 42 St & 8 Ave","40.7575699","-73.99098507","22164","Subscriber","1965","1"
"361","9/1/2016 00:09:18","9/1/2016 00:15:20","545","E 23 St & 1 Ave","40.736502","-73.97809472","325","E 19 St & 3 Ave","40.73624527","-73.98473765","23941","Subscriber","1954","2"
"278","9/1/2016 00:09:22","9/1/2016 00:14:01","481","S 3 St & Bedford Ave","40.71260486","-73.96264403","3092","Berry St & N 8 St","40.7190095","-73.95852515","26070","Subscriber","1975","2"
"346","9/1/2016 00:09:40","9/1/2016 00:15:27","379","W 31 St & 7 Ave","40.749156","-73.9916","470","W 20 St & 8 Ave","40.74345335","-74.00004031","22146","Subscriber","1970","1"
"610","9/1/2016 00:09:42","9/1/2016 00:19:53","545","E 23 St & 1 Ave","40.736502","-73.97809472","116","W 17 St & 8 Ave","40.74177603","-74.00149746","25283","Subscriber","1992","1"
"924","9/1/2016 00:09:51","9/1/2016 00:25:16","486","Broadway & W 29 St","40.7462009","-73.98855723","3158","W 63 St & Broadway","40.77163851","-73.98261428","19820","Subscriber","1988","1"
"147","9/1/2016 00:09:56","9/1/2016 00:12:24","435","W 21 St & 6 Ave","40.74173969","-73.99415556","453","W 22 St & 8 Ave","40.74475148","-73.99915362","22134","Subscriber","1969","1"
"947","9/1/2016 00:09:57","9/1/2016 00:25:45","432","E 7 St & Avenue A","40.72621788","-73.98379855","229","Great Jones St","40.72743423","-73.99379025","24957","Subscriber","1989","1"
"1881","9/1/2016 00:10:03","9/1/2016 00:41:24","475","E 16 St & Irving Pl","40.73524276","-73.98758561","3386","1 Pl & Clinton St","40.6809591","-73.99905709","19750","Subscriber","1969","1"
"495","9/1/2016 00:10:02","9/1/2016 00:18:18","253","W 13 St & 5 Ave","40.73543934","-73.99453948","470","W 20 St & 8 Ave","40.74345335","-74.00004031","24115","Customer","","0"
"314","9/1/2016 00:10:08","9/1/2016 00:15:22","482","W 15 St & 7 Ave","40.73935542","-73.99931783","475","E 16 St & Irving Pl","40.73524276","-73.98758561","15877","Subscriber","1991","2"
"640","9/1/2016 00:10:15","9/1/2016 00:20:55","477","W 41 St & 8 Ave","40.75640548","-73.9900262","519","Pershing Square North","40.751873","-73.977706","15357","Subscriber","1969","1"
"99","9/1/2016 00:10:15","9/1/2016 00:11:55","3095","Graham Ave & Herbert St","40.71929301","-73.94500379","3091","Frost St & Meeker St","40.71764","-73.94882","15638","Subscriber","1985","2"
"610","9/1/2016 00:10:26","9/1/2016 00:20:36","383","Greenwich Ave & Charles St","40.735238","-74.000271","477","W 41 St & 8 Ave","40.75640548","-73.9900262","20822","Subscriber","1982","1"
"489","9/1/2016 00:10:25","9/1/2016 00:18:34","477","W 41 St & 8 Ave","40.75640548","-73.9900262","3224","W 13 St & Hudson St","40.73997354103409","-74.00513872504234","22891","Subscriber","1985","2"
"683","9/1/2016 00:10:35","9/1/2016 00:21:59","479","9 Ave & W 45 St","40.76019252","-73.9912551","509","9 Ave & W 22 St","40.7454973","-74.00197139","16684","Subscriber","1983","1"
"537","9/1/2016 00:10:44","9/1/2016 00:19:41","251","Mott St & Prince St","40.72317958","-73.99480012","342","Columbia St & Rivington St","40.71739973","-73.98016555","22246","Subscriber","1980","1"
"1342","9/1/2016 00:10:47","9/1/2016 00:33:10","2010","Grand St & Greene St","40.72165481","-74.00234737","3420","Douglass St & 3 Ave","40.6802133","-73.98432695","22358","Subscriber","1987","1"
"459","9/1/2016 00:10:49","9/1/2016 00:18:28","479","9 Ave & W 45 St","40.76019252","-73.9912551","3258","W 27 St & 10 Ave","40.75018156325683","-74.00218427181244","21162","Subscriber","1982","2"
"367","9/1/2016 00:10:49","9/1/2016 00:16:56","251","Mott St & Prince St","40.72317958","-73.99480012","483","E 12 St & 3 Ave","40.73223272","-73.98889957","23420","Subscriber","1994","2"
"1425","9/1/2016 00:10:51","9/1/2016 00:34:37","3259","9 Ave & W 28 St","40.74937024193277","-73.99923384189606","328","Watts St & Greenwich St","40.72405549","-74.00965965","20944","Customer","","0"
"1044","9/1/2016 00:10:55","9/1/2016 00:28:20","3113","Greenpoint Ave & Manhattan Ave","40.73026","-73.95394","3054","Greene Ave & Throop Ave","40.6894932","-73.942061","25157","Subscriber","1988","1"
"445","9/1/2016 00:11:07","9/1/2016 00:18:32","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","462","W 22 St & 10 Ave","40.74691959","-74.00451887","15749","Subscriber","1966","1"
"937","9/1/2016 00:11:06","9/1/2016 00:26:44","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","3141","1 Ave & E 68 St","40.76500525","-73.95818491","25573","Subscriber","1978","1"
"1404","9/1/2016 00:11:12","9/1/2016 00:34:37","3259","9 Ave & W 28 St","40.74937024193277","-73.99923384189606","328","Watts St & Greenwich St","40.72405549","-74.00965965","21575","Customer","","0"
"363","9/1/2016 00:11:14","9/1/2016 00:17:17","3093","N 6 St & Bedford Ave","40.71745169","-73.95850939","3112","Milton St & Franklin St","40.72906","-73.95779","25156","Subscriber","1988","2"
"388","9/1/2016 00:11:16","9/1/2016 00:17:45","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","25643","Subscriber","1984","1"
"256","9/1/2016 00:11:22","9/1/2016 00:15:38","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","471","Grand St & Havemeyer St","40.71286844","-73.95698119","25673","Subscriber","","0"
"645","9/1/2016 00:11:22","9/1/2016 00:22:07","336","Sullivan St & Washington Sq","40.73047747","-73.99906065","238","Bank St & Washington St","40.7361967","-74.00859207","25972","Subscriber","1987","1"
"1452","9/1/2016 00:11:35","9/1/2016 00:35:47","3172","W 74 St & Columbus Ave","40.7785669","-73.97754961","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","16623","Subscriber","1988","1"
"1358","9/1/2016 00:11:35","9/1/2016 00:34:14","2010","Grand St & Greene St","40.72165481","-74.00234737","3076","Scholes St & Manhattan Ave","40.70870368","-73.9448625","14658","Subscriber","1983","2"
"1967","9/1/2016 00:11:40","9/1/2016 00:44:27","361","Allen St & Hester St","40.71605866","-73.99190759","504","1 Ave & E 16 St","40.73221853","-73.98165557","26502","Subscriber","1984","1"
"992","9/1/2016 00:11:38","9/1/2016 00:28:11","3087","Metropolitan Ave & Meeker Ave","40.71413311","-73.95234386","3102","Driggs Ave & Lorimer St","40.72179134","-73.9504154","23898","Subscriber","1985","1"
"431","9/1/2016 00:11:48","9/1/2016 00:18:59","448","W 37 St & 10 Ave","40.75660359","-73.9979009","505","6 Ave & W 33 St","40.74901271","-73.98848395","26329","Subscriber","1986","1"
"1365","9/1/2016 00:11:55","9/1/2016 00:34:40","212","W 16 St & The High Line","40.74334935","-74.00681753","301","E 2 St & Avenue B","40.72217444","-73.98368779","26735","Subscriber","1971","1"
"459","9/1/2016 00:11:59","9/1/2016 00:19:38","3224","W 13 St & Hudson St","40.73997354103409","-74.00513872504234","335","Washington Pl & Broadway","40.72903917","-73.99404649","23602","Subscriber","1979","1"
"1506","9/1/2016 00:11:58","9/1/2016 00:37:05","470","W 20 St & 8 Ave","40.74345335","-74.00004031","453","W 22 St & 8 Ave","40.74475148","-73.99915362","23158","Subscriber","1964","1"
"202","9/1/2016 00:12:14","9/1/2016 00:15:36","3329","Degraw St & Smith St","40.6829151","-73.99318208","310","State St & Smith St","40.68926942","-73.98912867","25522","Subscriber","1984","1"
"891","9/1/2016 00:12:17","9/1/2016 00:27:08","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","25382","Subscriber","1976","1"
"1436","9/1/2016 00:12:19","9/1/2016 00:36:15","285","Broadway & E 14 St","40.73454567","-73.99074142","423","W 54 St & 9 Ave","40.76584941","-73.98690506","15621","Subscriber","1978","1"
"267","9/1/2016 00:12:27","9/1/2016 00:16:55","482","W 15 St & 7 Ave","40.73935542","-73.99931783","453","W 22 St & 8 Ave","40.74475148","-73.99915362","19798","Subscriber","1977","2"
"785","9/1/2016 00:12:40","9/1/2016 00:25:45","368","Carmine St & 6 Ave","40.73038599","-74.00214988","477","W 41 St & 8 Ave","40.75640548","-73.9900262","15602","Subscriber","1968","1"
"764","9/1/2016 00:12:43","9/1/2016 00:25:27","278","Concord St & Bridge St","40.69766564","-73.98476437","3321","Clinton St & Union St","40.6831164","-73.99785267","16152","Subscriber","1986","1"
"1262","9/1/2016 00:12:47","9/1/2016 00:33:50","348","W Broadway & Spring St","40.72490985","-74.00154702","352","W 56 St & 6 Ave","40.76340613","-73.97722479","14798","Subscriber","1989","2"
"1214","9/1/2016 00:12:52","9/1/2016 00:33:06","150","E 2 St & Avenue C","40.7208736","-73.98085795","3250","NYCBS Depot - PIT","40.71690978045965","-73.98383796215057","16190","Subscriber","1962","2"
"457","9/1/2016 00:12:53","9/1/2016 00:20:30","460","S 4 St & Wythe Ave","40.71285887","-73.96590294","3112","Milton St & Franklin St","40.72906","-73.95779","18062","Subscriber","1985","2"
"1522","9/1/2016 00:12:58","9/1/2016 00:38:21","441","E 52 St & 2 Ave","40.756014","-73.967416","401","Allen St & Rivington St","40.72019576","-73.98997825","15618","Subscriber","1992","1"
"473","9/1/2016 00:13:08","9/1/2016 00:21:02","174","E 25 St & 1 Ave","40.7381765","-73.97738662","511","E 14 St & Avenue B","40.72938685","-73.97772429","26557","Subscriber","1993","1"
"398","9/1/2016 00:13:08","9/1/2016 00:19:46","174","E 25 St & 1 Ave","40.7381765","-73.97738662","511","E 14 St & Avenue B","40.72938685","-73.97772429","26009","Subscriber","1993","2"
